indicator_id,dimension,category,parent_row_sha256
C3P227_9_1,Nacional,Total,b6e2b9a86d198e38f228d0d9c6737b12893fe62323bfb68d563f381ff122db80
C3P233_1A_1,Nacional,Total,52bf1a71790f1d33a6a20c52330f4ef27d5d587e0923403bab40e257f3695593
C3P233_1_1,Nacional,Total,e310a9136c9a1bcc496c42e774d77a06c611d58ba855ff05e582ba21f882c167
C3P233_2A_1,Nacional,Total,5aac15b9ac69b3be73a14d4a947b0218d4b2526e42af9bc68d7e2cb2225f63e1
C3P233_2_1,Nacional,Total,087979808e6b3d235588814516067c1eeb8ef995f7544f7f87ee46cccac7934f
C3P233_3_1,Nacional,Total,48bd498ebe489edc3d6961ac8702c07f7a68987eb552869307a35018aa164dfc
C3P240,Nacional,Total,d9c2b56efd0bceb23cae77a571a3c653d7a9520428be9bd6d14af89108d5e1f6
C3P242_1,Nacional,Total,ac155879fc17e8d80ffb5a0b4fa838f2cb8235c94c5e0398c31a01b3e8625d07
C3P242_10,Nacional,Total,32bd4093f16e0980abb7486b1277685d3b487b6fd815bf381c134f161197a4aa
C3P242_11,Nacional,Total,0f913799c7fd98485f9d2995ad6fc6c4a5d0a0cccd8d31d4b0ff2ae0f9ca8dc6
C3P242_12,Nacional,Total,6294b9016d80cab7e6b4dc0010a1f1571162dda525193d6bdc6dd7c493fef850
C3P242_2,Nacional,Total,1933c06b2f1802ca777d9e8463f623fd7e4f0106684cee2202c0e428ec57562d
C3P242_3,Nacional,Total,c9616d9d9b01681a792a361d5cbb12efc9c056d984234609d9a9a47ec79417e4
C3P242_4,Nacional,Total,268415b17a2614ee39e1b8121ccdf265f0d82579ac24b7487565e7bd053341e1
C3P242_5,Nacional,Total,7a581ff0c370d6de186d8ff062d9f841996149d388c7b628531228453b5ccf61
C3P242_6,Nacional,Total,0faba7228e2a56b9e81dd380e154fed69d2c7b8ff0b036bd2340da04cb656caf
C3P242_7,Nacional,Total,a82ff1a23e3f0cac2ece901593d49879058198a492b0caf0a487e2209415e87b
C3P242_8,Nacional,Total,c9306398f1b72b99c90200633b5c9d2f9f9d60c20a02165257b5adf89c5b67ee
C3P242_9,Nacional,Total,657f145137079da648d401377d233ffc71377cf68cfb031abc1ce65c5cfb78f7
C3P243_1,Nacional,Total,87b1b0884fad0a7d5f462629d0490818a0c0a6f9327e6451dbf44048ac3bf6ac
C3P243_2,Nacional,Total,812e7bb1e0217b0440597889ec63a53e093500c7b32f4fa6a099d00aa91b5ea9
C3P243_3,Nacional,Total,f2b99a29f5a44b8e00b87559b13be8be7ce21488aa9c19ba890d0c56564c0d32
C3P243_4,Nacional,Total,094db894e5d926e6e1dcd0f604df37452f1dae796012d08b79b17b8642cd1b39
C3P243_5,Nacional,Total,7a495e24c4d235dfd4068040b2ad644d886ed713bea2de5648cf604cfcf7214c
C3P243_6,Nacional,Total,d86327807cf05685edc1680c2bea15ad52aea3a9f8cac778299a3661cf2d089e
C3P243_T1,Nacional,Total,7e96d151f16e9138e66f69c5b72879114f0cbbfa6237bfac4f3e89bbd276a9c3
C3P243_T2,Nacional,Total,ee7a82710971f7870f5bab6ed7f48a9d8c50b89e4144773d756388a8523fc011
C3P243_T3,Nacional,Total,367bfe2b472a92133a6899d3128fdbf72d1157d06de8c3614d1e1b1be6554d0d
C3P243_T4,Nacional,Total,3e8084ad0183cbbadf705545a07b51a56a6b59a3d21d8d2804b87d396f74c372
C3P243_T5,Nacional,Total,d0191c3efbe60e8be35201e6bd69f2f41f4a2d55f5a9d985c04695ba982fe75b
C3P243_T6,Nacional,Total,982be17db339e753905f7928bc0c80958c866a3493ef926f491177b25a50458a
C4P256,Nacional,Total,c70b9fcbe616879a6938a585e2a5da4f4c4dbc6c6c23e8b3f884eeb7908f6445
C4P258_1,Nacional,Total,25d75528d5f1be6717c1a2370fbc7c4a10a7713fa3623b78c3f3743a82ff7d88
C4P258_10,Nacional,Total,a7cd732b9876e4a62c27df5d2c67eb089247b7d2e9e7738f8660cce9eabc3f1d
C4P258_11,Nacional,Total,43702b1faaeba5def9f1cc575e0127d1a1bd26c025e5e5ddc00cee880fdaffac
C4P258_12,Nacional,Total,15ffa21390f3a774a2a9ddf417a049b644aeda90a6704a99256a1f9d4ab7cc11
C4P258_2,Nacional,Total,e74aea8d87dd67ca076cfedb2e2f1c7bc05fc25c791b27bced9d833b7f1f78f2
C4P258_3,Nacional,Total,0ddfa51fc8e4b774ea25132b643f554e301ed25ceb8fdeccb7b2695662216084
C4P258_4,Nacional,Total,dfcb8e963c9df06d5643ae7851e6801f1d14eb9b205727b834c1546c846f3ff6
C4P258_5,Nacional,Total,7b2f172895b23e30eebb5585569174b3fc7012d1434306c5e6669eba30aff84e
C4P258_6,Nacional,Total,45b950ea735d640ee4ff020715c2516ff41e214b47b159696e594f6ff22e8fda
C4P258_7,Nacional,Total,834b800673d7676bd82a58c8d8473163c74b4012ac5c55355971b580690af441
C4P258_8,Nacional,Total,1db259bcb9e5d1be3fc10c927689d4dd55a1c2649aac955dc53e3e1e433bdacb
C4P258_9,Nacional,Total,0a6031b067418dc4a65841c8da02bd5c53a2999e701745e3bc304459ae8d5df3
CONS_ALGUNA,Departamento,Amazonas,d22ee14aa82c11d810a5047e73b6d844ed993522060271f508cb9bc42f209497
CONS_ALGUNA,Departamento,Apurímac,219cadf2cf4b6627ab1c123cd4b3c5a01e18ae7813847f0c869068a4a7e33c1d
CONS_ALGUNA,Departamento,Arequipa,08cc3e3677824a143b5b64a36dff39825f7b1701d3b30788f30acb6d6c82c5a9
CONS_ALGUNA,Departamento,Ayacucho,f01ca2962f105fa3bdca773647b9cbe94382d370defd72e78111838a214ae06b
CONS_ALGUNA,Departamento,Cajamarca,077ff8577153a1235dc49861f147642ac433e031aa4474ae884474292d273caf
CONS_ALGUNA,Departamento,Callao,cad901c06e5e71ee571625c2af7ca4b211f868d77a914d0340d55506bc61da0b
CONS_ALGUNA,Departamento,Cusco,21413006e9d0f2e95c8ca0879e9d6032115cf0590881bec4f7f3010f3a08c350
CONS_ALGUNA,Departamento,Huancavelica,61c3a662d6063f01058fbfbc880f3c1e4b9a2a800a0594757cb9bf5420706d11
CONS_ALGUNA,Departamento,Huánuco,2fc761276a5c11d86b5a7954e31adf65f94933063d5ac943943193d72ae5f851
CONS_ALGUNA,Departamento,Ica,f358715b732c01378aca0a0d6620881e9149ce1c5a4069f54c075990a3e35efd
CONS_ALGUNA,Departamento,Junín,db536bf87d2e5e7b64ad9cf333fece1e2e75f8401bf3ba27265076140b425730
CONS_ALGUNA,Departamento,La Libertad,f8cd38772914ad8bbacaed89f616d34d4f6ef01f16ac14aa3dd901a8431462e9
CONS_ALGUNA,Departamento,Lambayeque,17eb387bc9ef9bebb225f93a8285c39891c380f6a30639b8f2a0d5a7a9ee97e6
CONS_ALGUNA,Departamento,Lima Metropolitana,e8e2ea3809005b7a225bf8d2ac2ec281241063eae965c9f62788cbf83deffc4a
CONS_ALGUNA,Departamento,Loreto,40dbbc9ad7817e92809e7133f77fa18af4cf4bb29647dd32f623f6a41d0ba4ed
CONS_ALGUNA,Departamento,Madre de Dios,3807f6734e02b08637acd7dd5c1e2d03557b4a6b68fe5a85eff4564aa21a6cbf
CONS_ALGUNA,Departamento,Moquegua,0b76db6d146278ae0a77e645a8eefa18893ad3e0739c9745166ba2373ed70a0f
CONS_ALGUNA,Departamento,Pasco,2e31dd3df577b5cf5ae0a666907e644f9d947eadb134777bacf82a3996210a64
CONS_ALGUNA,Departamento,Piura,01b12ce6fb263b8296ec4d39d6dd20d0f50a843cd94140c4e06b101f83da740b
CONS_ALGUNA,Departamento,Puno,4dd15f19458ecd6c47113d868e0d06114c2292c6f578863ee898921e6f5a6bf0
CONS_ALGUNA,Departamento,Región Lima,68adb82272b183dc26a772d850e9cfe88e0255e84a86ba21a7c7a853b51ad6dd
CONS_ALGUNA,Departamento,San Martín,090f1b1fa293698220c7eee1b4c959806804c07d772551d7132aeff2dd965215
CONS_ALGUNA,Departamento,Tacna,b981378011cb34a40b505991fd4ea7c98340caf2aa462178eb9614136b93337c
CONS_ALGUNA,Departamento,Tumbes,57e7e45eb55a1344289359a7cff443af5701986242b86e1a60e1a51aba6611e5
CONS_ALGUNA,Departamento,Ucayali,2da7b9b54728a4813428c1f0b6f54c4830b027b1f4c1083cd1429c83802638b4
CONS_ALGUNA,Departamento,Áncash,f2d4413b8f6fda7de15573ffd24a9f019efa6c25ef6992b0e313a1627899a439
CONS_ALGUNA,Discapacidad,0,12cd29325c1b9e10aac7c657e666f09f747260b34193113ffeef186206d23507
CONS_ALGUNA,Discapacidad,1,b9c869e6f60034a82d060cb62dd3a9c47d1bf217285bc911344daa0af4bd9eed
CONS_ALGUNA,Etnicidad,1,82e2a784e76e4701385b9a08449f40583723f6431a58c518fc2ce916a5d51c8a
CONS_ALGUNA,Etnicidad,3,6984f3f3fd156081ebab56782be3a9989a42114b7efc0e5797c07f55fada2778
CONS_ALGUNA,Etnicidad,5,5d66dbce97456434d48839a28d93ec097906e6316cc135d50a4d5d9d4a0f7cf7
CONS_ALGUNA,Etnicidad,6,8c41bbff007daf60cd31902f0e263c8c0fca59c9c5828b00615a715230d3de59
CONS_ALGUNA,Etnicidad,9,ba3cbca6b0405b058e6839709e4f39fdf25e1a8efaaaf7cec2cf5d41bab3969d
CONS_ALGUNA,Idioma del hogar,1,44032745b492f870401f2cfe48b188000297f6b8b300e5e16116b77cb9db396a
CONS_ALGUNA,Idioma del hogar,3,2349f32f2c99543c78946315cdea2c5a3020c567efb975577f4124aea4b63dea
CONS_ALGUNA,Idioma del hogar,4,63bb5c418bede79d88475316d5cdaeea601a6708081acdd00f0d9e97077db720
CONS_ALGUNA,Nacional,Total,44fde2781998de771dfe96c2637eccf4bce440c3c0b114769dc0455802a73f4e
