indicator_id,dimension,category_key,category_occurrence,categoria_spss,pct_spss,es_spss,ci_low_spss,ci_high_spss,cv_spss,n_unw_spss,categoria_r,pct_r,es_r,ci_low_r,ci_high_r,cv_r,n_unw_r,target_unw_r,base_unw_r,local_critical_r,cell_critical_r,pct_igual,es_igual,ci_low_igual,ci_high_igual,cv_igual,n_unw_igual,IGUAL,EXCEPCION_DOCUMENTADA,VALIDADO,estado_fila
VP_ESCUELA,Sexo,sexo_1,1,Mujer,44.9,1.1,42.8,46.9,0.024,9608.0,1,44.85221539635554,1.0590259271542233,42.77425534308915,46.93017544962193,0.0236114519159353,9608.0,4343,9608,1.962202376365632,1.962274314570696,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Sexo,sexo_2,1,Hombre,35.3,1.0,33.4,37.2,0.027,9199.0,2,35.32824066430395,0.9679469702364922,33.4289905267398,37.22749080186809,0.0273986746023986,9199.0,3179,9199,1.9622476264013184,1.9624278869109144,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Tipo de hogar,hogar_1,1,Biparental,39.3,0.8,37.8,40.9,0.02,13464.0,1,39.34597288682959,0.7755691511365953,37.82419549376972,40.86775027988946,0.0197115255827415,13464.0,5331,13464,1.962142757779508,1.9621939598625373,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Tipo de hogar,hogar_2,1,Monoparental,43.1,1.7,39.8,46.4,0.039,4397.0,2,43.08234682426602,1.6659992912198935,39.81341838053312,46.35127526799893,0.038670114653121,4397.0,1806,4397,1.962322551204167,1.9629599928183288,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Tipo de hogar,hogar_3,1,Sin figuras parentales,39.4,3.1,33.4,45.4,0.078,929.0,3,39.38504082980744,3.070395936441631,33.36048567960287,45.40959598001202,0.0779584296918613,929.0,378,929,1.9642398045825584,1.9688886224492936,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Área,area_1,1,Urbana,41.1,0.9,39.4,42.8,0.021,15576.0,1,41.13594389536034,0.8655938265183608,39.436708624040016,42.83517916668066,0.0210422745791422,15576.0,6295,15576,1.9630738928941311,1.96308617190014,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Área,area_2,1,Rural,36.7,1.2,34.4,39.0,0.032,3231.0,2,36.71517264688632,1.1614856585568445,34.42926032689444,39.00108496687821,0.0316350319179377,3231.0,1227,3231,1.967850227366019,1.9680934526838216,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Área y sexo,area_1_sexo_1,1,Urbano Mujer,45.3,1.3,42.8,47.8,0.0279999999999999,7990.0,Urbano Mujer,45.3235225828491,1.2670017049642963,42.83748436335912,47.809560802339085,0.0279546167809062,7990.0,3633,7990,1.9631967955598617,1.9632145141769743,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Área y sexo,area_1_sexo_2,1,Urbano Hombre,36.6,1.1,34.4,38.9,0.031,7586.0,Urbano Hombre,36.63978456414843,1.1460099947458569,34.39114935261491,38.888419775681946,0.0312777492656769,7586.0,2662,7586,1.9632873744486168,1.9633733475126152,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Área y sexo,area_2_sexo_1,1,Rural Mujer,43.0,1.6,39.9,46.1,0.037,1618.0,Rural Mujer,42.985674693085976,1.578877753471588,39.887691143692514,46.08365824247943,0.0367303238752128,1618.0,710,1618,1.967850227366019,1.9686916197952944,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Área y sexo,area_2_sexo_2,1,Rural Hombre,30.6,1.6,27.6,33.7,0.051,1613.0,Rural Hombre,30.645482488345426,1.558189684549329,27.588091883560224,33.702873093130634,0.0508456567829177,1613.0,517,1613,1.9678765312856947,1.9697743954267464,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Conductas de riesgo inducidas por adultos,bin_0,1,Sin conductas,28.11775961196511,0.6514891863365386,26.83944482322348,29.39607440070672,0.0231700247575666,18548.0,0,28.117759611964928,0.6514891863365356,26.83944482322303,29.396074400706823,0.0231700247575666,18548.0,5104,18548,1.962142757779508,1.9622498268425952,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Conductas de riesgo inducidas por adultos,bin_1,1,Al menos una,53.34359355746056,6.13212929703594,41.3114804675166,65.37570664740451,0.114955309308709,259.0,1,53.343593557460586,6.132129297035952,41.31148046751395,65.37570664740723,0.1149553093087092,259.0,165,259,1.9725281820013163,1.9799304050824225,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Conductas de riesgo personales,bin_0,1,Sin conductas,23.48777624761351,0.5779214398388568,22.35381187986844,24.62174061535858,0.0246052003283017,15165.0,0,23.487776247613613,0.5779214398388599,22.35381187986829,24.62174061535893,0.0246052003283017,15165.0,3494,15165,1.962142757779508,1.9623296070709264,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Conductas de riesgo personales,bin_1,1,Al menos una,48.05898031558466,1.6496270688188397,44.82217650946544,51.29578412170386,0.0343250534652707,3642.0,1,48.05898031558458,1.649627068818838,44.82217650946466,51.2957841217045,0.0343250534652708,3642.0,1775,3642,1.9623558437740083,1.962926321861701,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,amazonas,1,Amazonas,26.3,2.7,20.9,31.6,0.104,907.0,Amazonas,26.277285577916302,2.736773001094374,20.907346254132488,31.64722490170012,0.10414976055953,907.0,232,907,2.000995378088267,2.004044783289145,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,ancash,1,Áncash,28.3,2.6,23.2,33.4,0.091,705.0,Áncash,28.31065120293789,2.583884366303671,23.24070120665545,33.38060119922034,0.09126898381043,705.0,206,705,2.016692199227824,2.0226909200367604,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,apurimac,1,Apurímac,35.7,3.0,29.8,41.6,0.084,698.0,Apurímac,35.66676875928745,3.011948290501949,29.75689623427268,41.57664128430222,0.0844469066101664,698.0,253,698,2.016692199227824,2.016692199227824,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,arequipa,1,Arequipa,33.2,1.9,29.5,36.8,0.0559999999999999,760.0,Arequipa,33.159124067596494,1.8597256470749,29.510076857731672,36.80817127746132,0.0560848846092483,760.0,247,760,2.0226909200367604,2.0226909200367604,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,ayacucho,1,Ayacucho,26.0,3.1,20.0,32.1,0.118,650.0,Ayacucho,26.037764260332185,3.08413128919951,19.98625838718819,32.089270133476184,0.118448391281355,650.0,177,650,2.0210753903062733,2.026192463029109,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,cajamarca,1,Cajamarca,18.8,2.2,14.5,23.1,0.1159999999999999,783.0,Cajamarca,18.84714808864128,2.192662790154889,14.544830674686256,23.1494655025963,0.1163392349782805,783.0,157,783,2.004044783289145,2.011740513729765,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,callao,1,Callao,30.4,2.2,26.1,34.8,0.073,610.0,Callao,30.41485815382782,2.2159427294076,26.06686217566654,34.762854131989094,0.0728572435945658,610.0,175,610,2.0422724563012378,2.0422724563012378,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,cusco,1,Cusco,25.5,2.3,21.1,29.9,0.088,716.0,Cusco,25.510563858767743,2.2547042117928338,21.08651231866348,29.934615398872005,0.0883831586112869,716.0,192,716,2.016692199227824,2.0210753903062733,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,huancavelica,1,Huancavelica,19.4,2.6,14.3,24.5,0.134,771.0,Huancavelica,19.39091339120214,2.6060750091639946,14.277422185740846,24.50440459666344,0.1343967123460206,771.0,137,771,2.0057459953178687,2.0226909200367604,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,huanuco,1,Huánuco,20.6,2.2,16.4,24.8,0.105,687.0,Huánuco,20.58855701325496,2.1522903317040645,16.36545612626297,24.81165790024694,0.1045381825602646,687.0,158,687,2.016692199227824,2.019540970441376,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,ica,1,Ica,26.5,2.0,22.7,30.4,0.074,716.0,Ica,26.5475318167237,1.969647405369148,22.682802424899428,30.41226120854797,0.0741932402216149,716.0,184,716,2.026192463029109,2.026192463029109,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,junin,1,Junín,31.6,2.0,27.6,35.6,0.064,696.0,Junín,31.576815612980585,2.028369733904994,27.596864629499752,35.55676659646142,0.0642360445323426,696.0,223,696,2.0226909200367604,2.0226909200367604,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,la libertad,1,La Libertad,29.3,2.1,25.3,33.3,0.07,687.0,La Libertad,29.305318288941105,2.0608772967627345,25.2615828264259,33.34905375145632,0.0703243444225086,687.0,210,687,2.0226909200367604,2.0243941639119694,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,lambayeque,1,Lambayeque,20.8,1.9,17.1,24.5,0.091,651.0,Lambayeque,20.767013502181804,1.893271551376972,17.052144439137503,24.4818825652261,0.09116725191025,651.0,150,651,2.0301079282503425,2.032244509317718,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,lima metropolitana,1,Lima Metropolitana,32.8,2.0,28.9,36.7,0.06,796.0,Lima Metropolitana,32.77116978634055,1.9777644578110407,28.890513578852904,36.65182599382821,0.060350743373079,796.0,263,796,2.0210753903062733,2.0210753903062733,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,loreto,1,Loreto,29.6,2.4,24.8,34.4,0.083,674.0,Loreto,29.56836254540337,2.442143827555812,24.77652772070881,34.360197370097936,0.0825931373036232,674.0,214,674,2.019540970441376,2.0210753903062733,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,madre de dios,1,Madre de Dios,25.8,2.9,20.1,31.4,0.111,644.0,Madre de Dios,25.75952905605047,2.86844525313014,20.13122997653416,31.387828135566785,0.1113547241833752,644.0,166,644,2.0301079282503425,2.032244509317718,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,moquegua,1,Moquegua,29.4,2.1,25.3,33.4,0.07,670.0,Moquegua,29.37314526814606,2.0663095940229312,25.31875086290365,33.42753967338847,0.0703468959540998,670.0,209,670,2.0301079282503425,2.0301079282503425,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,pasco,1,Pasco,28.7,1.5,25.7,31.7,0.054,990.0,Pasco,28.709461424807227,1.5369191069021593,25.693806729906203,31.725116119708247,0.053533540185959,990.0,306,990,1.999623584994939,1.999623584994939,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,piura,1,Piura,27.4,2.2,23.0,31.8,0.0819999999999999,658.0,Piura,27.36686303852921,2.235138625780772,22.98120197132023,31.75252410573819,0.0816731761559214,658.0,193,658,2.026192463029109,2.0280940009804507,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,puno,1,Puno,34.1,2.1,30.0,38.2,0.062,979.0,Puno,34.09287592798489,2.1010240022080904,29.97036689813137,38.21538495783842,0.0616264819267851,979.0,333,979,2.000995378088267,2.000995378088267,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,region lima,1,Región Lima,32.6,2.0,28.8,36.5,0.06,679.0,Región Lima,32.61365553495151,1.9672530753716144,28.753624160391634,36.47368690951139,0.0603199194663518,679.0,221,679,2.026192463029109,2.026192463029109,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,san martin,1,San Martín,16.8,2.1,12.8,20.8,0.122,649.0,San Martín,16.80086949182714,2.0541099244086363,12.77041257996572,20.83132640368856,0.1222621201484761,649.0,118,649,2.0226909200367604,2.0280940009804507,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,tacna,1,Tacna,25.4,2.1,21.3,29.4,0.0819999999999999,659.0,Tacna,25.358636154388464,2.0776065678392346,21.28207547378757,29.43519683498936,0.0819289552951645,659.0,179,659,2.0345152974493383,2.0345152974493383,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_HOGAR,Departamento,tumbes,1,Tumbes,31.6,3.1,25.5,37.7,0.099,677.0,Tumbes,31.585982655111,3.126301624686666,25.451732563597744,37.72023274662424,0.0989775008370934,677.0,206,677,2.0301079282503425,2.032244509317718,True,True,True,True,True,True,True,False,True,EN_AMBOS
